La	Lo	Sig	Theta	Ice
61.883000	165.330000	-1.867500	-18.182000	1
61.866000	165.410000	-2.529800	-18.182000	1
61.849000	165.500000	-2.558100	-18.182000	1
61.833000	165.580000	-1.891200	-18.182000	1
61.816000	165.670000	-5.325600	-18.182000	1
61.799000	165.760000	-4.258700	-18.182000	1
61.782000	165.840000	-4.935700	-18.182000	1
61.765000	165.930000	-3.589400	-18.183000	1
61.748000	166.010000	-4.254400	-18.183000	1
61.731000	166.100000	-4.934100	-18.182000	1
61.714000	166.180000	-3.928100	-18.183000	1
61.697000	166.270000	-3.237400	-18.182000	1
61.680000	166.350000	-2.896700	-18.182000	1
61.662000	166.440000	-3.561700	-18.182000	1
61.645000	166.520000	-1.482200	-18.182000	1
61.628000	166.610000	-1.489200	-18.182000	1
61.610000	166.690000	-2.155100	-18.183000	1
61.593000	166.780000	-1.478500	-18.182000	1
61.575000	166.860000	0.234000	-18.182000	1
61.558000	166.940000	-0.463130	-18.182000	1
61.540000	167.030000	-2.862000	-18.182000	1
61.522000	167.110000	-3.909200	-18.182000	1
61.504000	167.200000	-2.841300	-18.182000	1
61.486000	167.280000	-1.832600	-18.182000	1
61.469000	167.360000	-6.016000	-18.182000	1
61.451000	167.450000	-6.661700	-18.182000	1
61.433000	167.530000	-1.871600	-18.182000	1
61.414000	167.620000	-0.491110	-18.182000	1
61.396000	167.700000	-1.538500	-18.182000	1
61.378000	167.780000	1.240600	-18.183000	1
61.880000	165.620000	-3.082600	-17.424000	1
61.863000	165.710000	-3.089700	-17.425000	1
61.846000	165.800000	-3.776900	-17.425000	1
61.829000	165.880000	-3.779000	-17.425000	1
61.812000	165.970000	-3.784800	-17.425000	1
61.795000	166.050000	-2.397700	-17.425000	1
61.778000	166.140000	-3.420100	-17.425000	1
61.761000	166.220000	-3.075800	-17.425000	1
61.744000	166.310000	-5.144600	-17.425000	1
61.727000	166.390000	-3.782400	-17.425000	1
61.709000	166.480000	-3.768200	-17.425000	1
61.692000	166.560000	-3.778700	-17.425000	1
61.675000	166.650000	-2.391600	-17.425000	1
61.657000	166.730000	-1.662600	-17.425000	1
61.640000	166.820000	-2.404400	-17.424000	1
61.622000	166.900000	-0.676090	-17.425000	1
61.604000	166.990000	-0.289860	-17.424000	1
61.587000	167.070000	-1.659600	-17.425000	1
61.569000	167.150000	0.042484	-17.425000	1
61.551000	167.240000	0.749960	-17.425000	1
61.533000	167.320000	-0.289580	-17.424000	1
61.515000	167.410000	-2.375300	-17.425000	1
61.497000	167.490000	-2.741400	-17.425000	1
61.479000	167.570000	-2.061000	-17.425000	1
61.461000	167.660000	0.027151	-17.425000	1
61.443000	167.740000	-1.693000	-17.425000	1
61.425000	167.830000	0.353910	-17.425000	1
63.866000	149.820000	-3.360400	-16.662000	1
63.860000	149.920000	-4.066900	-16.663000	1
63.854000	150.020000	-2.693900	-16.663000	1
63.848000	150.120000	-4.741000	-16.663000	1
63.843000	150.210000	-4.078200	-16.663000	1
63.837000	150.310000	-5.104900	-16.662000	1
63.831000	150.410000	-5.097400	-16.662000	1
63.825000	150.510000	-3.353000	-16.662000	1
63.818000	150.610000	-5.764200	-16.662000	1
63.812000	150.710000	-5.414100	-16.662000	1
63.806000	150.810000	-5.070300	-16.662000	1
