La	Lo	Sig	Theta	Ice
63.965000	149.370000	-7.577900	-18.182000	1
63.963000	149.470000	-7.566400	-18.182000	1
63.961000	149.570000	-7.577700	-18.182000	1
63.960000	149.670000	-6.880000	-18.181000	1
63.958000	149.760000	-4.124900	-18.182000	1
63.956000	149.860000	-4.823000	-18.181000	1
63.953000	149.960000	-6.880200	-18.181000	1
63.951000	150.060000	-5.842000	-18.181000	1
63.949000	150.160000	-9.984000	-18.180000	1
63.947000	150.260000	-8.264600	-18.180000	1
63.944000	150.360000	-9.642300	-18.181000	1
63.942000	150.460000	-4.460300	-18.180000	1
63.939000	150.560000	-6.538500	-18.180000	1
63.937000	150.660000	-7.214800	-18.181000	1
63.934000	150.760000	-7.218500	-18.180000	1
63.931000	150.860000	-6.552800	-18.180000	1
63.928000	150.960000	-4.474200	-18.180000	1
63.925000	151.060000	-5.854800	-18.179000	1
63.922000	151.160000	-4.816700	-18.179000	1
63.919000	151.260000	-4.477600	-18.179000	1
63.916000	151.360000	-5.850900	-18.179000	1
63.913000	151.460000	-8.587500	-18.179000	1
63.910000	151.560000	-6.877100	-18.180000	1
63.906000	151.660000	-7.911700	-18.179000	1
64.016000	149.370000	-7.169200	-17.424000	1
64.014000	149.470000	-7.855800	-17.424000	1
64.012000	149.570000	-8.196000	-17.424000	1
64.010000	149.670000	-7.172800	-17.424000	1
64.008000	149.770000	-6.828900	-17.424000	1
64.006000	149.870000	-6.146400	-17.424000	1
64.004000	149.970000	-7.867300	-17.424000	1
64.002000	150.070000	-7.878300	-17.424000	1
64.000000	150.170000	-7.855800	-17.423000	1
63.997000	150.270000	-6.120000	-17.423000	1
63.995000	150.370000	-5.440600	-17.423000	1
63.992000	150.470000	-7.508900	-17.423000	1
63.990000	150.570000	-8.882400	-17.422000	1
63.987000	150.670000	-8.530500	-17.423000	1
63.984000	150.770000	-8.885800	-17.422000	1
63.982000	150.870000	-6.137300	-17.422000	1
63.979000	150.970000	-6.804900	-17.422000	1
63.976000	151.070000	-6.812500	-17.422000	1
63.973000	151.170000	-7.500100	-17.422000	1
63.970000	151.270000	-6.462200	-17.422000	1
63.967000	151.370000	-5.106600	-17.421000	1
63.963000	151.470000	-6.827100	-17.422000	1
63.960000	151.570000	-7.159600	-17.422000	1
63.957000	151.660000	-6.808400	-17.421000	1
63.953000	151.760000	-5.781400	-17.422000	1
63.950000	151.860000	-7.842500	-17.422000	1
63.946000	151.960000	-7.842800	-17.421000	1
62.498000	167.040000	-6.455300	-17.423000	1
62.483000	167.130000	-5.085500	-17.421000	1
62.469000	167.220000	-7.150200	-17.422000	1
62.454000	167.310000	-6.448500	-17.422000	1
62.439000	167.400000	-7.138800	-17.422000	1
62.425000	167.490000	-7.844000	-17.422000	1
62.410000	167.580000	-7.829100	-17.421000	1
62.395000	167.660000	-7.832600	-17.422000	1
62.380000	167.750000	-7.828700	-17.422000	1
62.365000	167.840000	-7.471000	-17.422000	1
62.350000	167.930000	-7.478400	-17.422000	1
62.335000	168.020000	-6.801600	-17.422000	1
64.063000	149.570000	-7.840100	-16.662000	1
64.061000	149.670000	-7.118600	-16.661000	1
64.059000	149.770000	-7.458800	-16.662000	1
64.057000	149.880000	-5.062700	-16.661000	1
64.055000	149.980000	-7.825400	-16.661000	1
64.052000	150.080000	-8.160300	-16.661000	1
64.050000	150.180000	-9.202500	-16.660000	1
64.048000	150.280000	-7.462400	-16.660000	1
64.045000	150.380000	-5.408600	-16.660000	1
64.043000	150.480000	-7.813500	-16.660000	1
64.040000	150.570000	-9.179700	-16.660000	1
64.038000	150.670000	-8.155700	-16.661000	1
64.035000	150.770000	-5.069000	-16.660000	1
64.032000	150.870000	-7.121200	-16.660000	1
64.029000	150.970000	-7.453700	-16.660000	1
64.026000	151.070000	-7.816400	-16.659000	1
64.023000	151.170000	-6.079300	-16.659000	1
64.020000	151.270000	-5.396200	-16.659000	1
64.017000	151.370000	-7.460900	-16.659000	1
64.014000	151.470000	-7.456900	-16.659000	1
64.011000	151.570000	-7.456800	-16.659000	1
64.007000	151.670000	-6.430100	-16.659000	1
64.004000	151.770000	-8.147100	-16.659000	1
64.000000	151.870000	-8.154700	-16.659000	1
63.997000	151.970000	-7.800700	-16.659000	1
63.993000	152.070000	-7.804500	-16.659000	1
63.989000	152.170000	-8.830300	-16.659000	1
63.985000	152.270000	-7.804800	-16.659000	1
63.982000	152.370000	-7.120600	-16.659000	1
63.978000	152.470000	-7.120500	-16.659000	1
63.974000	152.570000	-7.109400	-16.658000	1
63.969000	152.670000	-7.120100	-16.659000	1
63.965000	152.770000	-7.796800	-16.659000	1
63.961000	152.870000	-5.736000	-16.658000	1
63.957000	152.970000	-7.463700	-16.660000	1
63.952000	153.070000	-8.143000	-16.659000	1
63.948000	153.170000	-8.509500	-16.658000	1
63.943000	153.270000	-7.467200	-16.660000	1
63.939000	153.360000	-7.460100	-16.659000	1
63.934000	153.460000	-6.754500	-16.659000	1
63.929000	153.560000	-6.761700	-16.660000	1
63.924000	153.660000	-7.115900	-16.659000	1
63.919000	153.760000	-7.119600	-16.659000	1
62.560000	166.980000	-5.397200	-16.659000	1
62.546000	167.070000	-4.016600	-16.660000	1
62.531000	167.160000	-6.080000	-16.659000	1
62.517000	167.250000	-7.808600	-16.659000	1
62.502000	167.340000	-6.773800	-16.659000	1
62.487000	167.430000	-7.464300	-16.659000	1
62.473000	167.520000	-6.419700	-16.660000	1
62.458000	167.610000	-8.137100	-16.659000	1
62.443000	167.700000	-7.460000	-16.660000	1
62.428000	167.790000	-8.148300	-16.659000	1
62.413000	167.880000	-7.460000	-16.659000	1
